MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Average,
Settings:
Clauses:,4000.0
Threshold:,8000.0
s:,27.0
9x9Natsukaze_Draw0,,81.0956,82.9280,82.9693,83.0692,82.4938,81.9315,82.0509,82.0379,81.9336,81.4886,81.6449,81.5146,81.6514,80.9110,80.5940,81.8876,
9x9Natsukaze_Draw1,,80.2267,82.2828,82.3089,82.7713,82.3371,82.2307,81.9137,82.1135,80.9671,81.5381,81.8421,81.3275,81.3123,81.4339,81.4990,81.7403,
9x9Natsukaze_Draw2,,80.1550,82.8191,82.8517,81.9919,81.8659,81.8855,81.1516,82.0592,80.9215,81.4512,80.9454,80.1138,80.4156,79.7685,80.9150,81.2874,
9x9Natsukaze_Draw3,,80.8776,82.5386,82.8296,82.7471,82.3953,82.0132,81.4574,81.9090,81.7548,80.8624,81.5051,81.0492,81.6007,81.6441,81.7830,81.7978,
9x9Natsukaze_Draw4,,80.9710,82.4431,83.0988,82.9924,82.7080,82.2390,81.6180,81.6289,81.9958,81.5116,81.3900,81.7353,81.5876,81.7136,81.5334,81.9444,
9x9Natsukaze_Draw5,,80.3001,82.5278,82.7840,82.9034,82.6255,81.8829,81.7027,80.5845,80.7300,81.6376,80.8342,81.6419,80.7864,81.4530,81.3944,81.5859,
9x9Natsukaze_Draw6,,80.7148,81.9785,82.7080,82.1782,82.1739,82.3432,81.3987,81.4943,81.2576,81.7896,81.2402,81.1925,81.3727,81.6767,81.3879,81.6604,
9x9Natsukaze_Draw7,,81.1707,81.4878,82.7384,82.6364,82.6885,80.7691,81.7375,81.6050,81.2467,80.8255,80.0330,81.0492,81.6267,80.3500,81.3119,81.4184,
9x9Natsukaze_Draw8,,80.6106,82.0675,82.8730,82.6168,81.8134,81.8091,81.5594,80.4759,81.7852,81.5225,80.5628,81.0014,81.4747,81.4682,81.5442,81.5457,
9x9Natsukaze_Draw9,,81.1834,82.4406,82.9182,83.0420,82.2625,82.5860,81.6459,81.4287,82.3993,81.5481,81.8999,80.7752,81.5937,81.3484,82.0845,81.9438,
mean,,80.7300,82.3500,82.8100,82.6900,82.3400,81.9700,81.6200,81.5300,81.5000,81.4200,81.1900,81.1400,81.3400,81.1800,81.4000,81.6807,
singel-highest/max,,83.0988,82.8100,
