MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Average,
Settings:
Clauses:,4000.0
Threshold:,16000.0
s:,27.0
9x9Natsukaze_Draw0,,79.5953,82.3853,83.6814,83.8834,83.7705,83.4643,83.0931,82.5741,82.5437,82.6436,82.1768,82.3722,82.1703,82.4352,82.0140,82.5869,
9x9Natsukaze_Draw1,,79.7056,82.2459,83.0428,83.3272,82.7279,83.2924,82.6802,82.2546,82.4869,81.9680,81.8160,82.0288,81.6553,82.0288,81.7617,82.2015,
9x9Natsukaze_Draw2,,79.1563,81.4035,83.0015,83.3402,83.2903,82.9407,82.1829,82.6954,81.3297,82.5238,80.6436,81.7661,82.2307,81.4556,81.3188,81.9519,
9x9Natsukaze_Draw3,,79.7963,81.7613,83.1879,83.5461,83.1249,83.3811,82.6060,82.5256,82.6320,82.4996,81.8938,81.8981,80.3978,81.4704,81.7570,82.1652,
9x9Natsukaze_Draw4,,80.0764,82.4019,83.2378,83.5287,83.4614,83.2335,82.9968,82.8079,82.5973,82.0002,81.4530,81.8243,81.7830,81.8286,81.7049,82.3290,
9x9Natsukaze_Draw5,,79.1840,82.2434,82.5169,82.8274,83.5114,82.8339,82.0588,82.6624,82.4605,80.9059,81.5985,81.9264,81.4899,81.7396,80.8429,81.9201,
9x9Natsukaze_Draw6,,79.8875,82.0914,83.0641,83.5070,83.1119,82.9903,82.4040,82.5234,82.2477,82.1608,81.3032,81.7418,81.0817,80.7083,81.2945,82.0078,
9x9Natsukaze_Draw7,,79.2188,81.5898,83.0055,83.7828,83.5439,83.2400,82.7449,82.1804,82.5538,82.2933,81.2706,82.0892,81.9025,81.6115,81.7071,82.1823,
9x9Natsukaze_Draw8,,79.7486,82.0892,82.7753,83.4354,83.4245,82.9816,82.8730,82.4019,81.7157,80.9775,82.0914,81.6810,81.6788,81.1295,81.6506,82.0436,
9x9Natsukaze_Draw9,,79.8393,82.4210,83.5219,83.4828,83.3981,83.7651,83.1723,82.2321,82.3537,82.4015,81.4135,82.2256,81.4874,82.0041,81.7523,82.3647,
mean,,79.6200,82.0600,83.1000,83.4700,83.3400,83.2100,82.6800,82.4900,82.2900,82.0400,81.5700,81.9600,81.5900,81.6400,81.5800,82.1760,
singel-highest/max,,83.8834,83.4700,
