MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,4000.0
S:,27.0
9x9Aya_Draw0,,93.4586,93.8167,93.4090,93.7628,93.6201,95.5257,94.6953,95.4675,94.4325,94.0364,95.3043,94.0552,94.7949,95.5654,94.3646
9x9Aya_Draw1,,93.0278,93.7560,94.3731,94.6804,95.2910,95.5051,94.8188,95.4222,95.3752,95.1107,93.7295,94.7492,93.3440,95.7428,94.7304
9x9Aya_Draw2,,93.0547,93.8193,94.4727,93.6116,93.8329,95.3449,94.9316,93.2658,95.3235,94.6744,94.3483,94.8381,95.0872,93.8970,93.5936
9x9Aya_Draw3,,93.3329,94.7022,94.8492,95.3389,95.2051,95.6295,95.2150,95.1205,93.7244,94.9646,95.0389,95.2970,95.1569,94.5868,94.3996
9x9Aya_Draw4,,93.1226,94.1385,94.4855,95.5372,95.0265,95.4910,95.5991,95.2564,95.3444,94.5440,94.6124,94.3722,94.7842,94.6303,93.9308
9x9Aya_Draw5,,92.5137,93.6141,95.1688,95.2261,95.9389,94.0239,94.3957,93.1709,94.4479,94.9692,94.4568,95.2581,94.2731,93.9132,94.7859
9x9Aya_Draw6,,92.9098,94.1192,95.1402,93.6910,95.2923,95.0072,95.3756,95.3184,94.6436,95.5414,94.8914,93.9175,94.6060,94.7008,95.2090
9x9Aya_Draw7,,93.7773,94.4179,94.2803,95.7500,94.8816,94.4675,95.5902,94.3278,94.9722,94.9709,94.2594,94.2350,94.6987,95.1543,94.2034
9x9Aya_Draw8,,93.7978,93.8760,94.2051,95.5560,95.0688,94.0756,94.9470,95.8410,94.1077,93.9427,94.3474,94.5448,94.3585,95.4030,95.0910
9x9Aya_Draw9,,93.1196,93.2350,93.7312,95.6560,94.9201,95.6209,95.2949,95.7419,95.0192,95.5555,93.6183,95.9145,93.7568,94.9863,94.8320
mean,,93.2115,93.9495,94.4115,94.8810,94.9077,95.0691,95.0863,94.8932,94.7391,94.8310,94.4607,94.7182,94.4860,94.8580,94.5140,94.6011
Single/k-Fold,95.9389,95.0863
