MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,8000.0
S:,40.0
9x9Aya_Draw0,,92.8231,93.0868,93.8654,93.4466,94.1026,95.2188,94.2680,94.5654,95.7949,94.8928,95.1475,94.5620,95.7004,94.7419,95.6210
9x9Aya_Draw1,,93.8099,94.4163,94.6445,94.3915,95.5128,95.6483,96.5133,95.5081,95.6680,96.5748,96.9710,96.8321,96.3795,96.4346,95.9492
9x9Aya_Draw2,,92.5979,93.0646,93.4962,94.3641,94.3735,94.3778,94.9987,95.1402,94.7086,95.5231,95.0466,94.4765,95.1872,95.0970,94.9607
9x9Aya_Draw3,,92.5646,93.0517,93.9834,93.7872,93.8385,94.4158,95.6825,96.0932,95.6385,95.0445,95.6710,95.3103,95.4693,96.7000,95.3244
9x9Aya_Draw4,,92.7496,93.0786,94.5850,94.1654,94.5496,95.1987,95.3038,94.9402,94.9812,95.2321,94.8551,95.5803,95.7987,94.6632,95.3547
9x9Aya_Draw5,,93.1624,93.9205,94.4509,95.2192,95.5291,95.2103,95.5286,95.0970,94.5491,94.9094,95.2761,95.7427,95.6419,94.7615,95.0556
9x9Aya_Draw6,,92.5192,93.8401,94.0684,94.4825,95.2025,95.1372,94.8427,95.5508,96.0021,94.7675,95.4880,95.9154,95.9397,95.6825,95.1675
9x9Aya_Draw7,,93.1265,94.2235,94.2021,94.7846,95.5265,95.5094,96.1880,95.6649,95.5278,96.1414,96.1743,95.8671,96.2961,95.4496,95.5876
9x9Aya_Draw8,,92.7222,95.0162,93.4876,94.6115,94.9543,95.5038,95.8748,95.3615,95.3137,95.0474,95.8572,96.0483,96.4423,95.4055,96.1389
9x9Aya_Draw9,,92.8730,94.0884,94.6325,95.3709,95.3201,95.3085,94.8145,95.6269,96.3312,95.6530,94.9380,95.2525,95.2718,95.0414,95.5107
mean,,92.8948,93.7787,94.1416,94.4623,94.8909,95.1529,95.4015,95.3548,95.4515,95.3786,95.5425,95.5587,95.8127,95.3977,95.4670
Single/k-Fold/Average,,96.9710,95.8127,94.9791
