MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000
Threshold:,64000
S:,27
9x9Aya_Draw0,,92.0829,92.5035,93.5248,93.0872,93.0782,93.4838,93.4005,93.1564,94.1500,94.2812,94.6932,94.5667,95.6787,95.0342,94.5090
9x9Aya_Draw1,,92.0975,92.5637,93.1526,92.8530,94.1787,93.6868,93.2761,94.6022,94.4184,93.3740,94.8923,94.4321,94.5073,94.2453,93.6949
9x9Aya_Draw2,,92.4492,92.8372,93.1505,92.9829,92.8086,93.5128,94.4462,94.9859,94.4693,93.3577,94.3034,93.5175,94.5201,95.3398,95.3697
9x9Aya_Draw3,,92.1838,93.0419,93.0979,93.8534,92.9137,94.1287,93.9543,94.6688,94.4257,94.9440,93.5693,94.6693,95.0987,94.6752,95.2171
9x9Aya_Draw4,,92.1034,92.8047,93.3047,92.5201,92.7252,93.7449,92.7316,93.7893,93.5504,95.3150,93.9073,94.1453,93.2722,93.0799,93.1872
9x9Aya_Draw5,,92.4406,92.8987,94.0124,93.2359,94.0256,93.5038,94.4735,94.7244,94.5406,94.0876,92.8838,94.9171,94.7927,94.0722,96.1799
9x9Aya_Draw6,,91.9055,93.3517,92.9564,93.2756,94.0474,93.7325,93.1782,93.1307,94.5790,93.9175,94.7816,93.9786,94.0547,93.8025,95.0325
9x9Aya_Draw7,,92.3000,93.0320,93.5098,93.3295,93.8166,93.8286,93.4487,93.9560,93.1910,93.7060,94.5495,95.0927,94.0320,93.4970,94.5816
9x9Aya_Draw8,,91.9846,92.8418,93.0427,92.7183,92.9688,92.6000,94.1812,93.4581,94.3513,94.3008,94.3500,93.6350,94.2282,94.3825,94.9466
9x9Aya_Draw9,,92.4957,92.6487,92.8466,93.2401,93.7718,94.3252,93.0324,93.6594,94.7461,94.6705,93.8607,93.4128,95.7816,94.0500,94.4825
mean,,92.2043,92.8524,93.2598,93.1096,93.4335,93.6547,93.6123,94.0131,94.2422,94.1954,94.1791,94.2367,94.5966,94.2179,94.7201,93.7685146666667
Single/k-Fold,96.1799,94.7201
