MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000.0
Threshold:,8000.0
S:,29.0
9x9Aya_Draw0,,93.1902,94.4124,95.2013,94.7923,95.7462,94.7381,95.6936,94.9543,95.1389,95.2628,96.1308,95.1898,94.5197,95.1056,94.6881
9x9Aya_Draw1,,92.9509,95.1923,93.8171,95.5684,95.7231,95.1338,94.3859,94.6167,95.2440,95.2175,94.2821,95.4244,96.0509,94.6342,94.7859
9x9Aya_Draw2,,93.0137,93.3603,94.2500,94.5846,94.5932,94.8342,94.3099,94.6594,94.3710,93.6872,95.2201,94.9513,95.2992,95.3462,95.2842
9x9Aya_Draw3,,93.9099,94.4752,95.5932,94.2013,96.2804,95.0069,95.7500,95.9586,95.8983,95.7577,95.1487,94.4928,95.6244,95.1287,95.1876
9x9Aya_Draw4,,94.2389,93.7769,95.0201,95.1026,95.8329,95.0432,94.9248,96.4705,95.8385,94.9483,95.6487,95.6252,95.5538,94.0415,95.2897
9x9Aya_Draw5,,92.7363,94.0603,94.1893,95.3120,95.0607,95.0615,94.0675,95.4915,95.7346,94.1838,95.8389,94.7932,94.6577,95.1769,94.6590
9x9Aya_Draw6,,93.7218,94.3290,94.5085,94.7406,94.9487,94.3013,94.9615,95.8235,95.6265,95.0850,95.2709,96.3367,96.1816,95.4316,95.6590
9x9Aya_Draw7,,93.4671,94.1560,94.6940,95.9555,96.1423,95.5709,94.9017,95.8333,95.4957,96.0568,94.2978,95.3299,95.0166,95.1880,95.4782
9x9Aya_Draw8,,93.1470,93.3914,93.9068,95.6431,95.9765,94.8833,96.2188,95.8342,95.2064,95.3008,94.8812,94.8137,95.0743,94.8192,94.8333
9x9Aya_Draw9,,93.1560,93.6940,93.9051,94.2701,95.3820,95.0786,95.8256,94.8098,95.1470,95.7021,95.1303,94.2171,94.7329,94.4957,95.2252
mean,,93.3532,94.0848,94.5085,95.0171,95.5686,94.9652,95.1039,95.4452,95.3701,95.1202,95.1850,95.1174,95.2711,94.9368,95.1090,94.9437
Single/k-Fold,96.4705,95.5686
