orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
1.0,1262,50599,39968,0,59,17935,29,1262,52788,44657,0,59,20463,29,1262,38580,36141,0,65,17344,22,1262,40836,40928,0,65,17344,22,1262,32430,34741,0,65,13822,22,1262,32430,38632,0,65,15439,22,0,27997,34366,0,65,15439,22,1262,32368,37315,0,65,15454,21,0,27935,33049,0,65,15454,21,1262,30810,34406,0,65,14211,21
1.0,0,42547,30438,0,5,7506,22,0,42911,32643,0,5,7506,22,0,36679,26017,0,5,6879,9,0,38082,28129,0,5,7149,9,0,29461,22643,0,5,7524,8,0,29461,24472,0,9,8742,8,0,22477,20673,0,9,8035,8,0,23243,22007,0,9,9407,12,0,22058,18275,0,9,8515,11,0,22058,19282,0,9,8515,13
1.0,1862,49061,45810,0,42,15744,29,604,50246,49280,0,55,15744,29,604,45140,37597,0,61,15863,13,604,46709,40779,0,61,17198,14,604,34457,31862,0,61,12910,13,604,36684,34261,0,74,12910,14,604,30911,27550,0,98,11061,13,604,30366,29945,0,78,15807,13,810,20524,23583,0,87,14853,12,810,22270,25982,0,100,14853,13
1.0,7523,12070,13390,1867,65,6488,2,6797,12070,14648,1867,65,7187,2,6797,12135,10263,1867,65,5790,1,5704,13025,10263,0,96,5790,1,4525,12040,8949,518,115,7086,1,4525,12040,9954,0,126,7086,1,4525,12040,8196,0,131,7086,-5,4525,10962,8871,0,152,7965,0,4525,10962,7777,0,152,7353,0,2397,11947,8343,0,138,5262,-5
1.0,2996,5262,7624,754,121,6907,4,2996,6062,8407,754,121,6907,4,2996,5296,7606,754,121,6181,-15,1978,5296,7606,0,121,6181,-15,1978,5296,7606,0,139,6954,-15,871,5296,7606,0,139,6954,0,871,5296,7606,0,139,6954,0,871,5296,7606,0,157,6954,0,871,3955,7606,0,157,7600,0,871,3404,7606,0,162,7600,0
0.0,35548,0,1666,52987,30,11620,-39,26868,0,1666,42832,30,10866,-28,27323,0,3477,41607,32,12594,-28,20265,0,2451,35956,32,10866,-28,21306,0,1666,36884,32,9994,-39,16649,0,1666,29060,50,9994,-30,17223,0,1666,33302,55,11788,-29,13521,0,1666,22828,54,10887,-27,14217,0,885,27165,73,13368,-31,10975,0,885,21001,68,11788,-28
0.0,83394,647,2171,98444,1,29712,-66,65270,647,2171,79220,1,25062,-48,64958,647,2171,83139,46,27692,-49,50025,647,2171,67609,46,24708,-51,52989,647,2171,68573,46,24708,-51,41651,647,2171,60412,46,23544,-48,44185,647,885,62204,46,24326,-50,34813,647,2171,57316,46,21044,-49,36364,647,885,58716,46,23187,-50,29171,647,885,49234,46,21936,-49
1.0,1327,5624,5022,2091,67,6518,-1,1327,6730,5882,962,67,5922,-1,1327,5812,4720,962,67,5922,-7,0,5812,7064,962,72,6648,-7,1327,5812,4642,0,93,7067,-7,0,5812,6986,0,98,7793,-7,0,4674,5928,0,98,7599,-2,0,5812,7225,0,219,7793,-6,0,4020,6167,0,322,7793,-6,0,2882,8120,0,310,7130,5
1.0,1231,46954,48447,719,0,15736,29,1231,50403,51487,0,8,16675,29,1961,40990,40017,0,8,12553,26,1961,42537,43073,0,19,14156,26,1961,36574,35823,0,19,12403,29,730,39552,39622,0,32,13826,29,730,33276,32643,0,32,10426,24,730,33276,35288,0,32,12950,24,730,30257,31201,966,40,12002,21,730,36518,35188,1841,32,15587,21
0.0,11091,7313,1616,12580,51,6913,-20,8780,7313,1616,12580,51,6913,-20,9670,5311,1616,13084,51,7507,-23,7093,5311,1667,9747,51,6337,-22,7985,4705,855,10452,106,7507,-23,6068,4705,855,10452,122,7507,-23,6049,3745,855,9604,123,8088,-23,4099,2945,0,8987,69,6337,-25,4446,2945,906,7934,70,6918,-9,3369,2945,906,7202,78,6324,-9
