orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
0.0,35548,0,1666,52987,30,11620,-39,26868,0,1666,42832,30,10866,-28,27323,0,3477,41607,32,12594,-28,20265,0,2451,35956,32,10866,-28,21306,0,1666,36884,32,9994,-39,16649,0,1666,29060,50,9994,-30,17223,0,1666,33302,55,11788,-29,13521,0,1666,22828,54,10887,-27,10975,0,885,21001,68,11788,-28,10975,0,885,21001,68,11788,-28
0.0,83394,647,2171,98444,1,29712,-66,65270,647,2171,79220,1,25062,-48,64958,647,2171,83139,46,27692,-49,50025,647,2171,67609,46,24708,-51,52989,647,2171,68573,46,24708,-51,41651,647,2171,60412,46,23544,-48,44185,647,885,62204,46,24326,-50,34813,647,2171,57316,46,21044,-49,29171,647,885,49234,46,21936,-49,29171,647,885,49234,46,21936,-49
0.0,11091,7313,1616,12580,51,6913,-20,8780,7313,1616,12580,51,6913,-20,9670,5311,1616,13084,51,7507,-23,7093,5311,1667,9747,51,6337,-22,7985,4705,855,10452,106,7507,-23,6068,4705,855,10452,122,7507,-23,6049,3745,855,9604,123,8088,-23,4099,2945,0,8987,69,6337,-25,3369,2945,906,7202,78,6324,-9,3369,2945,906,7202,78,6324,-9
0.0,16270,6184,0,12736,217,3666,-15,10180,6184,0,7333,217,3745,-15,7823,4411,0,9393,229,2987,-15,5962,5749,0,4862,229,3066,-18,7039,4983,0,4862,232,3066,-21,4903,4983,793,2724,259,3066,-13,4903,3502,793,2724,259,3066,-14,3632,3642,793,960,265,3066,-16,1512,2642,793,3796,278,4945,-11,1512,2642,793,3796,278,4945,-11
0.0,42064,917,1770,38737,256,12190,-39,32560,917,1770,26358,256,12190,-32,30906,0,1912,35063,256,13137,-33,22965,0,1912,24589,256,13137,-32,22965,0,1912,26430,256,12485,-33,18390,0,1912,24418,321,12596,-34,18861,0,991,24497,302,11902,-39,14271,0,991,20486,334,10601,-39,10708,0,991,19244,447,10559,-50,10708,0,991,19244,447,10559,-50
0.0,42794,3696,0,42048,274,10298,-22,30987,3696,0,32238,274,9586,-18,30091,2584,0,35990,432,8778,-22,22359,2595,0,28714,284,10092,-11,23132,1663,0,24013,251,7627,-11,15716,1652,1162,28131,449,8120,-8,14750,551,0,21845,260,7627,-13,9585,551,0,18067,272,6915,-10,6247,0,0,16314,287,8346,-8,6247,0,0,16314,287,8346,-8
0.0,8794,838,1419,7222,186,2963,-12,5813,838,1419,4415,194,2963,-11,5384,838,1419,4224,186,4398,-13,3412,838,1419,2335,205,2963,-12,3412,838,1419,2335,205,2963,-17,2168,838,1419,2335,230,2963,-25,2168,838,0,2335,230,3528,-25,1992,838,1419,3558,222,5114,-26,1127,838,0,1478,222,6386,-26,1127,838,0,1478,222,6386,-26
0.0,10804,4631,5453,7867,132,4221,-6,8596,4631,5453,7867,132,4221,-6,8047,1886,5453,7867,132,4108,-1,6217,2156,5453,4337,132,4412,-3,6217,961,5453,4337,132,6008,-6,4118,961,5453,4337,155,6008,-2,5858,1886,5453,6788,155,4136,1,5497,1886,5453,1682,155,5620,1,4690,691,6192,1682,162,5620,-2,4690,691,6192,1682,162,5620,-2
0.0,39293,1101,3301,39314,174,16200,-19,27876,1101,3301,19856,174,15907,-18,27088,0,3301,26729,174,15293,-16,18772,0,3301,18791,183,13259,-13,19539,0,2493,19218,195,14296,-19,13899,0,3301,7544,183,13535,-12,14666,0,2493,7433,195,14572,-18,10860,801,2493,7433,223,14003,-15,8999,801,885,4943,220,12207,-19,8999,801,885,4943,220,12207,-19
0.0,23858,3376,885,29166,10,4878,-40,16881,3376,885,26827,29,4878,-34,17773,2009,885,26827,29,4878,-35,13628,2009,1991,16503,10,4674,-35,13716,756,885,22428,29,5716,-37,9684,756,1991,19533,29,4878,-35,12523,1904,885,17306,29,5495,-34,7128,0,2105,17737,97,6333,-35,5518,0,3211,17737,97,6333,-35,5518,0,3211,17737,97,6333,-35
