MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10
Settings:
Clauses:,32000.0
Threshold:,8000.0
S:,27.0
9x9Aya_Draw0,,92.9663,93.6039,93.7616,95.9214,95.4560,95.5398,95.1551,95.9116,94.9316,93.4787
9x9Aya_Draw1,,93.3193,95.2761,96.0150,96.5966,95.7663,96.1564,95.6778,96.9658,95.3975,95.0611
9x9Aya_Draw2,,92.7415,93.3022,94.0402,94.4872,94.5667,94.5505,94.3081,94.1714,95.2180,94.4086
9x9Aya_Draw3,,92.7449,93.5791,95.0693,93.8304,95.7124,94.4158,94.9124,94.5693,94.3201,95.9808
9x9Aya_Draw4,,93.0838,93.9701,95.0338,95.9038,95.0799,95.0692,94.2462,94.3718,95.2825,94.4932
9x9Aya_Draw5,,93.2509,95.0064,95.4885,94.4581,95.0996,95.4060,95.0111,94.6397,95.2654,94.2269
9x9Aya_Draw6,,92.7115,94.7068,94.8850,93.4842,95.6337,95.0354,95.3752,95.8902,95.7850,95.9308
9x9Aya_Draw7,,93.4094,93.5919,94.1042,96.2025,95.6927,95.4077,96.1128,95.3752,95.6996,95.1624
9x9Aya_Draw8,,93.1790,93.5829,95.6107,95.4799,96.3615,95.7346,96.2551,96.6410,95.8487,96.1231
9x9Aya_Draw9,,94.0671,94.4525,94.9842,94.4701,95.8508,95.9765,95.9880,93.8995,95.4487,95.6158
mean,,93.1474,94.1072,94.8992,95.0834,95.5220,95.3292,95.3042,95.2435,95.3197,95.0481,94.9004
Single/k-Fold,96.9658,95.5220
