MultiClassTsetlinMachineParallel,Parallel,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
Settings:
Clauses:,32000
Threshold:,12000
S:,40
9x9Aya_Draw0,,92.6817,93.4116,93.7406,93.3227,95.4855,93.8103,95.3556,94.8641,94.9376,94.644,94.8628,95.1949,95.1863,95.6321,95.794
9x9Aya_Draw1,,93.3911,94.1222,94.218,94.5188,94.8325,96.5004,95.9945,94.9799,95.2509,96.3547,95.5022,95.4205,95.941,96.8697,96.7094
9x9Aya_Draw2,,92.3064,93.265,93.6855,94.0603,94.3128,94.7274,94.1073,94.5838,94.618,95.194,95.1667,94.794,95.3026,94.615,95.244
9x9Aya_Draw3,,92.3714,93.2902,93.8453,95.5069,94.212,95.468,94.2103,95.6175,94.3175,95.4483,95.1957,95.0026,95.4684,95.4376,94.9457
9x9Aya_Draw4,,92.5581,93.5372,93.9021,94.6979,93.7829,95.0162,94.3697,95.4487,94.3355,94.8115,95.2714,94.9226,95.9902,95.7026,95.638
9x9Aya_Draw5,,93.1564,93.4376,94.1248,94.5321,94.7859,94.306,94.9957,94.6679,95.3748,95.2137,95.9303,96.0675,95.5188,96.0829,95.0521
9x9Aya_Draw6,,92.9145,92.8316,93.4051,94.6384,93.8419,93.7243,93.9568,95.3303,95.6295,95.7115,95.4072,95.5619,96.3205,95.6658,95.5953
9x9Aya_Draw7,,93.0863,94.2397,94.3863,95.5923,94.7731,94.9303,95.1213,96.0816,95.7252,95.9572,95.7726,95.0816,95.9196,95.9376,96.3282
9x9Aya_Draw8,,92.7265,93.3072,94.1192,94.3047,94.6906,94.1448,94.8444,95.6983,95.709,94.9282,96.456,95.8696,94.9179,96.7068,94.6124
9x9Aya_Draw9,,92.6051,93.0901,93.8662,93.7692,94.2983,93.9931,95.3235,95.1102,95.2359,95.4209,95.2645,95.6551,95.209,96.4726,95.8119
mean,,92.7797,93.4532,93.9293,94.4943,94.5015,94.6621,94.8279,95.2382,95.1134,95.3684,95.4829,95.3571,95.5774,95.9123,95.5731
Single/k-Fold/Average/Last10,,96.8697,95.9123,94.8181,95.3113
