orig_result,0_area,0_result,0_score,1_area,1_result,1_score,2_area,2_result,2_score,3_area,3_result,3_score,4_area,4_result,4_score,5_area,5_result,5_score,6_area,6_result,6_score,7_area,7_result,7_score,8_area,8_result,8_score,9_area,9_result,9_score
1.0,29,1,39968,32,1,50021,25,1,39210,32,1,52461,28,1,48243,32,1,57150,28,1,52932,32,1,59497,0,0,0,0,0,0
1.0,22,1,30438,26,1,42091,13,1,33478,26,1,42971,22,1,34673,26,1,44824,15,1,37829,26,1,47444,0,0,0,0,0,0
1.0,29,1,45810,34,1,52601,17,1,39342,34,1,53529,20,1,42666,29,1,51436,18,1,41660,34,1,58882,0,0,0,0,0,0
1.0,2,1,11523,2,1,12781,-5,1,9002,2,1,12781,1,1,9672,2,1,12781,1,1,10673,10,1,12890,0,0,0,0,0,0
1.0,4,1,6870,19,1,10910,11,1,9720,19,1,10910,11,1,9954,19,1,11802,18,1,11144,74,1,116099,0,0,0,0,0,0
0.0,-39,0,35548,-28,0,26868,-28,0,28204,-27,0,21897,-27,0,24002,-26,0,19854,-26,0,21365,-25,0,18142,0,0,0,0,0,0
0.0,-66,0,82747,-48,0,64623,-49,0,64311,-51,0,49378,-51,0,52342,-51,0,41654,-51,0,44193,-48,0,36109,0,0,0,0,0,0
1.0,-1,1,2931,4,1,7753,3,1,4666,1,1,9511,0,1,6424,-3,1,12158,-4,1,9071,6,1,15081,0,0,0,0,0,0
1.0,29,1,47728,36,1,52059,28,1,41254,29,1,53318,21,1,43255,36,1,58874,33,1,47404,36,1,61455,0,0,0,0,0,0
0.0,-20,0,3778,-19,0,2886,-22,0,4888,-20,0,2701,-20,0,3640,-19,0,2485,-19,0,3215,-18,0,2485,0,0,0,0,0,0
1.0,33,1,62079,39,1,71312,35,1,58103,39,1,70318,38,1,61510,44,1,80058,41,1,68904,44,1,87236,0,0,0,0,0,0
1.0,21,1,15279,22,1,18432,21,1,16065,33,1,44428,26,1,35346,32,1,43403,31,1,38183,56,1,66405,0,0,0,0,0,0
0.0,-15,0,10086,-7,0,8220,-10,0,10619,-2,0,8727,-10,0,10386,-2,0,8161,-11,0,8881,-8,0,7389,0,0,0,0,0,0
0.0,-39,0,41147,-32,0,31643,-33,0,36077,-32,0,23471,-33,0,24578,-32,0,19482,-32,0,28944,-29,0,21602,0,0,0,0,0,0
1.0,28,1,21763,19,1,24257,13,1,17260,19,1,25485,15,1,21163,23,1,36294,19,1,27631,23,1,39986,0,0,0,0,0,0
1.0,6,1,17999,6,1,18953,2,1,17934,6,1,18953,6,1,18953,6,1,18953,6,1,18953,6,1,18953,0,0,0,0,0,0
0.0,-22,0,39098,-11,0,29452,-18,0,31327,-8,0,21964,-9,0,25657,-7,0,16630,-8,0,20236,-7,0,15819,0,0,0,0,0,0
0.0,-12,0,7956,-11,0,5176,-12,0,5959,-11,0,4321,-12,0,4918,4,0,3046,-4,0,3337,4,0,1207,0,0,0,0,0,0
1.0,7,1,17921,8,1,20028,7,1,16322,8,1,20028,7,1,18883,10,1,22226,9,1,21081,10,1,23538,0,0,0,0,0,0
